image_name,tag,view,face_width,face_height,eye_distance,mouth_width,jaw_width,face_ratio,eye_ratio,mouth_ratio,shoulder_width,left_upper_arm_length,left_forearm_length,left_total_arm_length,left_upper_arm_to_shoulder_ratio,left_forearm_to_shoulder_ratio,left_total_arm_to_shoulder_ratio,right_upper_arm_length,right_forearm_length,right_total_arm_length,right_upper_arm_to_shoulder_ratio,right_forearm_to_shoulder_ratio,right_total_arm_to_shoulder_ratio
IMG_20221103_112140_1_back.jpg,IMG_20221103_112140_1,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221103_112823_2_back.jpg,IMG_20221103_112823_2,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221103_113631_3_back.jpg,IMG_20221103_113631_3,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221103_120140_4_back.jpg,IMG_20221103_120140_4,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221103_122223_5_back.jpg,IMG_20221103_122223_5,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221103_122851_6_back.jpg,IMG_20221103_122851_6,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221103_123950_7_back.jpg,IMG_20221103_123950_7,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221110_101325_8_back.jpg,IMG_20221110_101325_8,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221110_101811_9_back.jpg,IMG_20221110_101811_9,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221110_102319_10_back.jpg,IMG_20221110_102319_10,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221110_103018_11_back.jpg,IMG_20221110_103018_11,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221110_103453_12_back.jpg,IMG_20221110_103453_12,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221110_104218_13_back.jpg,IMG_20221110_104218_13,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_104650_14_back.jpg,IMG_20221124_104650_14,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_104723_15_back.jpg,IMG_20221124_104723_15,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_105128_16_back.jpg,IMG_20221124_105128_16,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_105414_17_back.jpg,IMG_20221124_105414_17,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_105745_18_back.jpg,IMG_20221124_105745_18,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_110024_19_back.jpg,IMG_20221124_110024_19,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_110313_20_back.jpg,IMG_20221124_110313_20,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_110709_21_back.jpg,IMG_20221124_110709_21,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_114001_22_back.jpg,IMG_20221124_114001_22,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_114241_23_back.jpg,IMG_20221124_114241_23,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_114643_24_back.jpg,IMG_20221124_114643_24,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_115408_25_back.jpg,IMG_20221124_115408_25,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_120053_27_back.jpg,IMG_20221124_120053_27,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_120858_29_back.jpg,IMG_20221124_120858_29,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_121934_30_back.jpg,IMG_20221124_121934_30,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_122155_31_back.jpg,IMG_20221124_122155_31,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_122423_32_back.jpg,IMG_20221124_122423_32,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_123014_33_back.jpg,IMG_20221124_123014_33,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_123434_34_back.jpg,IMG_20221124_123434_34,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_123712_35_back.jpg,IMG_20221124_123712_35,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_124020_36_back.jpg,IMG_20221124_124020_36,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221124_124407_38_back.jpg,IMG_20221124_124407_38,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_120009_46_back.jpg,IMG_20221125_120009_46,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_120203_47_back.jpg,IMG_20221125_120203_47,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_120712_49_back.jpg,IMG_20221125_120712_49,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_120807_50_back.jpg,IMG_20221125_120807_50,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_121134_51_back.jpg,IMG_20221125_121134_51,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_121307_52_back.jpg,IMG_20221125_121307_52,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_121454_53_back.jpg,IMG_20221125_121454_53,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_121904_54_back.jpg,IMG_20221125_121904_54,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_122115_55_back.jpg,IMG_20221125_122115_55,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_122254_56_back.jpg,IMG_20221125_122254_56,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_122815_57_back.jpg,IMG_20221125_122815_57,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_123114_58_back.jpg,IMG_20221125_123114_58,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_123556_59_back.jpg,IMG_20221125_123556_59,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_123750_60_back.jpg,IMG_20221125_123750_60,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_123805_61_back.jpg,IMG_20221125_123805_61,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_123826_62_back.jpg,IMG_20221125_123826_62,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_124415_63_back.jpg,IMG_20221125_124415_63,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_124543_64_back.jpg,IMG_20221125_124543_64,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_125001_65_back.jpg,IMG_20221125_125001_65,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221125_125744_66_back.jpg,IMG_20221125_125744_66,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221128_110005_68_back.jpg,IMG_20221128_110005_68,back,,,,,,,,,,,,,,,,,,,,,
IMG_20221128_110410_69_back.jpg,IMG_20221128_110410_69,back,,,,,,,,,,,,,,,,,,,,,
